year,md,lower,upper,region,parameter
1991,27.5,26,28.75,East Midlands,age
1992,29,24.5,35,East Midlands,age
1994,33,29,39.5,East Midlands,age
1995,26.5,23,30.75,East Midlands,age
1996,28.5,24.75,34.25,East Midlands,age
1997,27,22,31,East Midlands,age
1998,28,23,34,East Midlands,age
1999,25.5,21,31,East Midlands,age
2000,28,24,32,East Midlands,age
2001,27,24,32,East Midlands,age
2002,29,24,36,East Midlands,age
2003,29,24,31,East Midlands,age
2004,28,25,34,East Midlands,age
2005,28,24.5,33.5,East Midlands,age
2006,29,24,35,East Midlands,age
2007,28.5,24,34,East Midlands,age
2008,30,26,34,East Midlands,age
2009,31,26.75,36,East Midlands,age
2010,32,27,38,East Midlands,age
2011,32,28,36,East Midlands,age
2012,33,28,40,East Midlands,age
2013,35,29,39,East Midlands,age
2014,35,29,41,East Midlands,age
2015,36,30,43,East Midlands,age
2016,36,32,40,East Midlands,age
2017,38,33,44,East Midlands,age
2018,38,32.25,43,East Midlands,age
2019,37,33,41,East Midlands,age
1990,29,26,38,East of England,age
1991,29,26,34,East of England,age
1992,30,27,36,East of England,age
1993,33,28.5,36,East of England,age
1994,29,26,36,East of England,age
1995,31,27,37,East of England,age
1996,28,25,34.5,East of England,age
1997,29,26,33,East of England,age
1998,30,26,36,East of England,age
1999,30,26,36,East of England,age
2000,31,25,36,East of England,age
2001,31,25,36,East of England,age
2002,30,25,36,East of England,age
2003,30,26,37,East of England,age
2004,30,25,36,East of England,age
2005,30,27,37,East of England,age
2006,32,27,37,East of England,age
2007,31,27,37.5,East of England,age
2008,30,25,36,East of England,age
2009,33,28,39,East of England,age
2010,33,26,38.75,East of England,age
2011,36,31,42,East of England,age
2012,35,30,39,East of England,age
2013,35,29,40.25,East of England,age
2014,37,31,45.5,East of England,age
2015,35,30,41,East of England,age
2016,37,31,43,East of England,age
2017,38,32,45,East of England,age
2018,38,33,44.25,East of England,age
2019,39,34,44,East of England,age
1990,29,26,33,London,age
1991,31,27,38,London,age
1992,31,27,36,London,age
1993,30,27,35,London,age
1994,30,27,35,London,age
1995,31,28,35,London,age
1996,30,26,36,London,age
1997,32,27.5,37,London,age
1998,33,29,38,London,age
1999,32,27,37,London,age
2000,33,28,38,London,age
2001,34,28,39,London,age
2002,36,30,41,London,age
2003,35,30,40,London,age
2004,35,30,40,London,age
2005,36,31,42,London,age
2006,37,31,42,London,age
2007,37,31,42,London,age
2008,38,32,42,London,age
2009,37,33,43,London,age
2010,37,31,44,London,age
2011,38.5,34,45,London,age
2012,38,32.5,43,London,age
2013,40,35,46.25,London,age
2014,40,34,48,London,age
2015,42,35,49,London,age
2016,44,39,50,London,age
2017,43,37,50,London,age
2018,43,37,49,London,age
2019,42,35,49,London,age
1992,21,20,26,North East,age
1993,29,27,33,North East,age
1994,23,19.75,30,North East,age
1995,23,20,27,North East,age
1996,24,22,28,North East,age
1997,23,20,25,North East,age
1998,24,21,27,North East,age
1999,25,21,28,North East,age
2000,24,20,29,North East,age
2001,25,21,28,North East,age
2002,27,23,31,North East,age
2003,25,22,29,North East,age
2004,25,22,30,North East,age
2005,26,23,30,North East,age
2006,26,23,31,North East,age
2007,27,24,31,North East,age
2008,28,24,33,North East,age
2009,28,24,34,North East,age
2010,30,25,33,North East,age
2011,31,26,35,North East,age
2012,30,25,35,North East,age
2013,33,28,37.25,North East,age
2014,32,28,38,North East,age
2015,35,29,38,North East,age
2016,35,30,41,North East,age
2017,36,31,40,North East,age
2018,35,30,40,North East,age
2019,38,32,45,North East,age
1990,25,22,29,North West,age
1991,26,22,29,North West,age
1992,26,23,30,North West,age
1993,26,23,30,North West,age
1994,27,23,31,North West,age
1995,28,24,32,North West,age
1996,28,24,33,North West,age
1997,28,24,32,North West,age
1998,29,26,33,North West,age
1999,30,26,34,North West,age
2000,30,26,35,North West,age
2001,31,27,35,North West,age
2002,33,29,37,North West,age
2003,33,29,36.25,North West,age
2004,33,29,36,North West,age
2005,34,29,38,North West,age
2006,34,29,38,North West,age
2007,34,29,39,North West,age
2008,36,31,41,North West,age
2009,36,31.25,41,North West,age
2010,38,32,43,North West,age
2011,38,32,43,North West,age
2012,38,31,42.25,North West,age
2013,38,32,44,North West,age
2014,39,34,43,North West,age
2015,39,34,45,North West,age
2016,42,34,46,North West,age
2017,41,34,46,North West,age
2018,40.5,35,46.25,North West,age
2019,40,35,46,North West,age
1990,32,26,35,South East,age
1991,29,25,35,South East,age
1992,27,25,32,South East,age
1993,27,22,32,South East,age
1994,28,23,32,South East,age
1995,26,23,32,South East,age
1996,27,22,32,South East,age
1997,26,21.25,31,South East,age
1998,26,21,32,South East,age
1999,28,23,33,South East,age
2000,29,26,34.5,South East,age
2001,29,25,34,South East,age
2002,30,27,34,South East,age
2003,30,26.25,36,South East,age
2004,32,26,38,South East,age
2005,33,28,39,South East,age
2006,32,27,37,South East,age
2007,32,27,37,South East,age
2008,34,28,39.25,South East,age
2009,34,28,40,South East,age
2010,35,29,40,South East,age
2011,35,29,41,South East,age
2012,35,30,42,South East,age
2013,35,30,41,South East,age
2014,37,31.25,43,South East,age
2015,36,31,43,South East,age
2016,37,32,43,South East,age
2017,37.5,33,43,South East,age
2018,38.5,33,44,South East,age
2019,39,33,45,South East,age
1990,29,24,35,South West,age
1991,27,22.5,33,South West,age
1992,30,24,35,South West,age
1993,28,24,34,South West,age
1994,27,23,33,South West,age
1995,28,24,34,South West,age
1996,28,24,34,South West,age
1997,27,22,32,South West,age
1998,27,23,33,South West,age
1999,27,23,33,South West,age
2000,29,24,34,South West,age
2001,28,24,34,South West,age
2002,30,25,35,South West,age
2003,30,26,36,South West,age
2004,30,25,35.25,South West,age
2005,30,25,36,South West,age
2006,30,25.5,36,South West,age
2007,29,25,35,South West,age
2008,31,27,36,South West,age
2009,31,27,37,South West,age
2010,33,28,39,South West,age
2011,33,27,39,South West,age
2012,33,27,38,South West,age
2013,34,29,41,South West,age
2014,34,29,42,South West,age
2015,37,31.5,43.5,South West,age
2016,39,34,45,South West,age
2017,38,32,45,South West,age
2018,39,34,45,South West,age
2019,40,34,45.25,South West,age
1990,26,22,33.5,Wales,age
1991,28,21.5,34.5,Wales,age
1992,28,23,32.25,Wales,age
1993,29,25,32,Wales,age
1994,29,24,34,Wales,age
1995,30,25,36,Wales,age
1996,26.5,23.25,32.5,Wales,age
1997,25.5,20.25,31,Wales,age
1998,27,21,33,Wales,age
1999,30,26,35,Wales,age
2000,29,23.5,34,Wales,age
2001,26,22,32,Wales,age
2002,28,24,32,Wales,age
2003,25.5,21.75,31.25,Wales,age
2004,32,28,35,Wales,age
2005,29,25,34,Wales,age
2006,30,26,37,Wales,age
2007,30,26,35,Wales,age
2008,33,28,37.75,Wales,age
2009,33,27,39,Wales,age
2010,32,25,38,Wales,age
2011,34.5,31,40,Wales,age
2012,35,29,41,Wales,age
2013,36,30,42,Wales,age
2014,36,29,43,Wales,age
2015,38,30.5,45,Wales,age
2016,38,32,44,Wales,age
2017,39,32,45,Wales,age
2018,41,34,46,Wales,age
2019,39,33,45,Wales,age
1992,33,28,37,West Midlands,age
1993,29.5,26,36,West Midlands,age
1994,30,24,33,West Midlands,age
1995,32,29,40,West Midlands,age
1996,28,24,33,West Midlands,age
1997,26,22,33,West Midlands,age
1998,28,22.75,34.25,West Midlands,age
1999,28,23,32,West Midlands,age
2000,28,23,32,West Midlands,age
2001,29,24,34,West Midlands,age
2002,27,22,34,West Midlands,age
2003,27.5,23,33.75,West Midlands,age
2004,33.5,27.75,35,West Midlands,age
2005,27,24,35,West Midlands,age
2006,26,23,32,West Midlands,age
2007,30,26,36,West Midlands,age
2008,29,25,36.5,West Midlands,age
2009,30,26,36,West Midlands,age
2010,32.5,27,38.75,West Midlands,age
2011,34,29,38,West Midlands,age
2012,35,30,41,West Midlands,age
2013,34,30,40,West Midlands,age
2014,35,30,40,West Midlands,age
2015,37,32,41.75,West Midlands,age
2016,36,31,40,West Midlands,age
2017,36,31,44,West Midlands,age
2018,38,33,42,West Midlands,age
2019,39,34,45,West Midlands,age
1990,25,21,27,Yorkshire & Humber,age
1991,26,23.5,34.5,Yorkshire & Humber,age
1992,23.5,22,25.5,Yorkshire & Humber,age
1993,21.5,20.75,27.25,Yorkshire & Humber,age
1994,22.5,21.25,24.5,Yorkshire & Humber,age
2001,30,26.5,34.5,Yorkshire & Humber,age
2002,31,27,35.5,Yorkshire & Humber,age
2003,30,25.5,34,Yorkshire & Humber,age
2004,30,25,34.5,Yorkshire & Humber,age
2005,30,25,34.5,Yorkshire & Humber,age
2006,31,27,35,Yorkshire & Humber,age
2007,33,27,36.25,Yorkshire & Humber,age
2008,32,28,38,Yorkshire & Humber,age
2009,32,29,38.75,Yorkshire & Humber,age
2010,34,30,39,Yorkshire & Humber,age
2011,36,31,40.25,Yorkshire & Humber,age
2012,35,29,39,Yorkshire & Humber,age
2013,35,30,40,Yorkshire & Humber,age
2014,37,32,42,Yorkshire & Humber,age
2015,37,33.75,42,Yorkshire & Humber,age
2016,37,33,43,Yorkshire & Humber,age
2017,39,35,45,Yorkshire & Humber,age
2018,39,35.5,44,Yorkshire & Humber,age
2019,40,35,45,Yorkshire & Humber,age
1990,26,23,31,England,age
1991,27,24,33,England,age
1992,27,24,32,England,age
1993,28,24,32,England,age
1994,28,24,33,England,age
1995,28,24,33,England,age
1996,28,24,34,England,age
1997,28,24,33,England,age
1998,29,24,34,England,age
1999,29,24,34,England,age
2000,29,24,34,England,age
2001,29,24,35,England,age
2002,31,26,36,England,age
2003,31,26,37,England,age
2004,31,26,37,England,age
2005,32,26,37,England,age
2006,32,26,37,England,age
2007,31,26,37,England,age
2008,32,27,38,England,age
2009,33,27,39,England,age
2010,34,28,40,England,age
2011,35,29,40,England,age
2012,35,29,41,England,age
2013,35,30,41,England,age
2014,36,31,42,England,age
2015,37,32,44,England,age
2016,38,33,44,England,age
2017,38,33,45,England,age
2018,39,34,45,England,age
2019,39,34,45,England,age
1989,24,24,24,East Midlands,age_init
1990,20.5,18.25,23.25,East Midlands,age_init
1991,26,26,26,East Midlands,age_init
1993,22.5,20,28,East Midlands,age_init
1994,22,19,25,East Midlands,age_init
1992,19,18.5,19.5,East Midlands,age_init
1995,22,19,27,East Midlands,age_init
1996,22,19,26,East Midlands,age_init
1997,22,17,25,East Midlands,age_init
1998,24,20,28,East Midlands,age_init
1999,23,20.5,29,East Midlands,age_init
2000,24,23,28,East Midlands,age_init
2001,21.5,18.25,25.75,East Midlands,age_init
2002,22.5,19.25,28.5,East Midlands,age_init
2003,23,20,26.5,East Midlands,age_init
2004,21,19,26,East Midlands,age_init
2005,23,19,26,East Midlands,age_init
2006,24,20.75,31,East Midlands,age_init
2007,25,19,32.5,East Midlands,age_init
2008,25.5,21,27.75,East Midlands,age_init
2009,22.5,19,23.25,East Midlands,age_init
2010,22,19,28,East Midlands,age_init
2011,27,22.25,35,East Midlands,age_init
2012,30,23.25,36.75,East Midlands,age_init
2013,29,23.75,38,East Midlands,age_init
2014,27.5,24.75,33.75,East Midlands,age_init
2015,26,25,35,East Midlands,age_init
2016,32.5,29.25,39.75,East Midlands,age_init
2017,33,26.5,39.25,East Midlands,age_init
2018,32,27.5,36,East Midlands,age_init
2019,30,30,34,East Midlands,age_init
1988,31,27.5,34.5,East of England,age_init
1987,23,22.5,23.5,East of England,age_init
1990,25,23,25.75,East of England,age_init
1989,23,21,24,East of England,age_init
1992,20.5,20,21.75,East of England,age_init
1991,20,20,20,East of England,age_init
1993,24,18,29,East of England,age_init
1995,20,17,27,East of England,age_init
1994,20.5,15.5,25.25,East of England,age_init
1996,24,21,27,East of England,age_init
1997,22,18,25.5,East of England,age_init
1998,22,19,27.25,East of England,age_init
1999,26,20,30,East of England,age_init
2000,21,18,26,East of England,age_init
2001,26,19.5,28,East of England,age_init
2002,24,20.25,28,East of England,age_init
2003,23.5,19.25,31.5,East of England,age_init
2004,23,19,30.5,East of England,age_init
2005,26,21.5,33.5,East of England,age_init
2006,26,20,30,East of England,age_init
2007,21,20,26.25,East of England,age_init
2008,24,19.5,25,East of England,age_init
2009,26,20.5,33,East of England,age_init
2010,26,22.5,35.5,East of England,age_init
2011,27,20.5,37,East of England,age_init
2012,28,23.75,33,East of England,age_init
2013,32,26.25,37.25,East of England,age_init
2014,28,26,34,East of England,age_init
2015,34,30,41,East of England,age_init
2016,31,27.5,34.5,East of England,age_init
2017,32.5,29.75,34.25,East of England,age_init
2018,29,27,33,East of England,age_init
2019,35,31,38.25,East of England,age_init
1990,25,21.5,28,London,age_init
1988,24.5,20,28,London,age_init
1987,22,20,24,London,age_init
1989,23.5,19,28,London,age_init
1991,26,21.5,28.5,London,age_init
1992,25,21,29,London,age_init
1993,25,21,29,London,age_init
1994,24.5,21,29,London,age_init
1995,26,22,30,London,age_init
1996,26,21,30,London,age_init
1997,25.5,21.75,28,London,age_init
1998,25,21,32,London,age_init
1999,27.5,23,33,London,age_init
2000,28,24,32,London,age_init
2001,27,24,32,London,age_init
2002,28,24,34.5,London,age_init
2003,28,24,34,London,age_init
2004,28.5,25,33,London,age_init
2005,30.5,25,35,London,age_init
2006,27,23,35,London,age_init
2007,28.5,21,34,London,age_init
2008,26,20.5,31,London,age_init
2009,33,28,37,London,age_init
2010,28,21,36,London,age_init
2011,33,28,36.5,London,age_init
2012,31,25,38.5,London,age_init
2013,35,28,38.5,London,age_init
2014,29,25,37,London,age_init
2015,34.5,26.25,38.5,London,age_init
2016,35.5,31.5,38,London,age_init
2017,38,31.5,40,London,age_init
2018,34,30,39,London,age_init
2019,36,34.5,37.5,London,age_init
1990,18,18,23,North East,age_init
1991,18,17,19,North East,age_init
1989,18,18,18,North East,age_init
1993,19,17,22,North East,age_init
1994,19,17,21.25,North East,age_init
1992,21,18.5,24.5,North East,age_init
1995,21,18,24,North East,age_init
1996,21,18,24,North East,age_init
1997,21,18,24,North East,age_init
1998,20,18,25,North East,age_init
1999,21,19,25,North East,age_init
2000,23,20,26,North East,age_init
2001,23,18,26,North East,age_init
2002,22,18,26,North East,age_init
2003,22,19,28,North East,age_init
2004,22,19,28.5,North East,age_init
2005,22,20,27,North East,age_init
2006,22,20,27,North East,age_init
2007,24,19,28,North East,age_init
2008,22,20,27,North East,age_init
2009,20,18,24.75,North East,age_init
2010,25,20,27,North East,age_init
2011,25,20,28.5,North East,age_init
2012,26,21,28,North East,age_init
2013,26.5,23,31.5,North East,age_init
2014,28,25.25,30.5,North East,age_init
2015,29,24,30,North East,age_init
2016,33,30,35,North East,age_init
2017,33,27,39,North East,age_init
2018,32,24.75,43.25,North East,age_init
2019,28,24,34.5,North East,age_init
1989,21,19,24,North West,age_init
1987,20,18,24,North West,age_init
1988,21,18,23,North West,age_init
1990,21,18,25,North West,age_init
1991,22,19,26,North West,age_init
1992,22,19,25,North West,age_init
1993,22,19,25,North West,age_init
1994,22,19,26,North West,age_init
1995,23,20,27,North West,age_init
1996,23,20,27,North West,age_init
1997,24.5,20,30,North West,age_init
1998,23,20,28.5,North West,age_init
1999,26,22,31.5,North West,age_init
2000,26,22,30,North West,age_init
2001,27,21,31,North West,age_init
2002,27,21,30.5,North West,age_init
2003,28,22.25,30,North West,age_init
2004,25,21,31.75,North West,age_init
2005,26,22,32,North West,age_init
2006,29,24,33.75,North West,age_init
2007,26,21,33.5,North West,age_init
2008,27,21,30,North West,age_init
2009,30,23.25,37.5,North West,age_init
2010,28,24,40,North West,age_init
2011,28,23,34.5,North West,age_init
2012,34,28.5,37.75,North West,age_init
2013,30,24,35,North West,age_init
2014,30,25,38.5,North West,age_init
2015,31.5,24.5,37.75,North West,age_init
2016,32.5,24.75,40.5,North West,age_init
2017,31,27,34,North West,age_init
2018,34,32,38.5,North West,age_init
2019,32.5,32.25,32.75,North West,age_init
1999,29,23,31,Northern Ireland,age_init
2000,28,20.5,30,Northern Ireland,age_init
2002,25,21.5,29,Northern Ireland,age_init
2001,29,25,37,Northern Ireland,age_init
2003,24,21,27,Northern Ireland,age_init
2004,22.5,21.25,27,Northern Ireland,age_init
2005,21,18.75,26.5,Northern Ireland,age_init
2006,24,21,31,Northern Ireland,age_init
2007,23,21,28,Northern Ireland,age_init
2008,22.5,20,25.5,Northern Ireland,age_init
2009,26,24,28,Northern Ireland,age_init
2010,26,24,29.5,Northern Ireland,age_init
2011,24,22,28,Northern Ireland,age_init
2012,26,23.5,30.75,Northern Ireland,age_init
2013,27,23,30,Northern Ireland,age_init
2014,24.5,22.25,28.25,Northern Ireland,age_init
2015,27,23.5,32,Northern Ireland,age_init
2016,23,20,28.25,Northern Ireland,age_init
2017,26,22.75,27.75,Northern Ireland,age_init
2018,31,28,34,Northern Ireland,age_init
2019,27,26.5,27.5,Northern Ireland,age_init
1987,26.5,22.75,28,South East,age_init
1989,21.5,19.75,23.5,South East,age_init
